date,description,amount,account
2026-06-01,Payroll Deposit,3200.00,Checking
2026-06-02,Downtown Grocery Market,-82.45,Checking
2026-06-03,Rent Payment,-1450.00,Checking
2026-06-04,Coffee House,-6.75,Credit Card
2026-06-05,Electric Utility,-94.30,Checking
2026-06-07,Amazon Marketplace,-43.19,Credit Card
2026-06-10,Restaurant,-58.20,Credit Card
2026-06-12,Gas Station,-39.50,Credit Card
2026-06-15,Payroll Deposit,3200.00,Checking
2026-06-18,Internet Provider,-72.99,Checking
2026-06-20,Pharmacy,-18.40,Credit Card
2026-06-24,Target Store,-112.10,Credit Card
